setup_date,breakout_date,ticker,company_name,setup_high,setup_close,breakout_open,breakout_high,breakout_close,entry_price,exit_price,success_binary,return_percentage,setup_mpi,setup_mpi_velocity,setup_mpi_trend,setup_ibs,setup_crt_velocity,setup_higher_hl,setup_valid_crt,setup_vw_range_percentile
2024-05-06,2024-05-07,A17U.SI,CapLand Ascendas REIT,2.3934,2.3751,2.3843,2.3934,2.3659,2.3934,2.3659,0,-0.011494,0.3,0.1,Expanding,0.5,0.08,0,0,0.34
2024-05-21,2024-05-23,A17U.SI,CapLand Ascendas REIT,2.4301,2.421,2.421,2.4668,2.4393,2.4301,2.4393,1,0.003774,0.4,0.0,Flat,0.75,0.08,0,0,0.48
2024-05-24,2024-05-27,A17U.SI,CapLand Ascendas REIT,2.4393,2.4301,2.4301,2.4393,2.4118,2.4393,2.4118,0,-0.011278,0.5,0.0,Flat,0.75,0.08,0,0,0.6
2024-05-29,2024-05-30,A17U.SI,CapLand Ascendas REIT,2.421,2.4026,2.3843,2.4301,2.421,2.421,2.421,0,-0.0,0.2,-0.1,Contracting,0.0,0.08,0,0,0.2
2024-05-30,2024-05-31,A17U.SI,CapLand Ascendas REIT,2.4301,2.421,2.4301,2.4393,2.3934,2.4301,2.3934,0,-0.015095,0.3,0.1,Expanding,0.8,0.08,0,0,0.64
2024-05-31,2024-06-03,A17U.SI,CapLand Ascendas REIT,2.4393,2.3934,2.421,2.4485,2.421,2.4393,2.421,0,-0.007519,0.2,-0.1,Contracting,0.0,0.08,1,0,1.0
2024-06-04,2024-06-05,A17U.SI,CapLand Ascendas REIT,2.4393,2.4118,2.421,2.4576,2.4393,2.4393,2.4393,1,0.0,0.3,0.0,Flat,0.25,0.08,0,0,0.42
2024-06-05,2024-06-06,A17U.SI,CapLand Ascendas REIT,2.4576,2.4393,2.4576,2.4668,2.4393,2.4576,2.4393,0,-0.007463,0.4,0.1,Expanding,0.6,0.08,1,0,0.68
2024-06-11,2024-06-12,A17U.SI,CapLand Ascendas REIT,2.3751,2.3568,2.3568,2.3751,2.3476,2.3751,2.3476,0,-0.011583,0.3,0.0,Flat,0.5,0.58,0,1,0.5
2024-06-12,2024-06-13,A17U.SI,CapLand Ascendas REIT,2.3751,2.3476,2.3751,2.4026,2.3751,2.3751,2.3751,0,-0.0,0.3,0.0,Flat,0.0,0.58,1,1,0.22
2024-06-21,2024-06-24,A17U.SI,CapLand Ascendas REIT,2.3384,2.3201,2.3201,2.3384,2.3292,2.3384,2.3292,0,-0.003922,0.1,0.0,Flat,0.3333,0.58,0,1,0.48
2024-06-24,2024-06-25,A17U.SI,CapLand Ascendas REIT,2.3384,2.3292,2.3384,2.3659,2.3568,2.3384,2.3568,1,0.007843,0.2,0.1,Expanding,0.6667,0.58,1,0,0.1
2024-06-27,2024-06-28,A17U.SI,CapLand Ascendas REIT,2.3476,2.3292,2.3201,2.3476,2.3476,2.3476,2.3476,1,0.0,0.3,0.0,Flat,0.5,0.58,0,0,0.66
2024-07-01,2024-07-02,A17U.SI,CapLand Ascendas REIT,2.3476,2.3292,2.3292,2.3476,2.3384,2.3476,2.3384,0,-0.003906,0.3,0.0,Flat,0.3333,0.58,0,0,0.38
2024-07-03,2024-07-04,A17U.SI,CapLand Ascendas REIT,2.3568,2.3384,2.3476,2.3751,2.3568,2.3568,2.3568,0,-0.0,0.4,0.0,Flat,0.3333,0.58,0,0,0.52
2024-07-08,2024-07-09,A17U.SI,CapLand Ascendas REIT,2.3384,2.3384,2.3292,2.3568,2.3476,2.3384,2.3476,1,0.003922,0.4,-0.1,Contracting,1.0,0.58,0,0,0.06
2024-07-09,2024-07-10,A17U.SI,CapLand Ascendas REIT,2.3568,2.3476,2.3476,2.3659,2.3568,2.3568,2.3568,0,-0.0,0.4,0.0,Flat,0.6667,0.58,1,0,0.3
2024-07-12,2024-07-15,A17U.SI,CapLand Ascendas REIT,2.5127,2.4943,2.4943,2.5218,2.4943,2.5127,2.4943,0,-0.007299,0.6,0.0,Flat,0.6,0.58,1,0,0.96
2024-07-16,2024-07-17,A17U.SI,CapLand Ascendas REIT,2.5035,2.4943,2.5035,2.5218,2.4943,2.5035,2.4943,0,-0.003663,0.5,-0.1,Contracting,0.5,0.58,0,0,0.08
2024-07-18,2024-07-19,A17U.SI,CapLand Ascendas REIT,2.4943,2.4943,2.4851,2.4943,2.476,2.4943,2.476,0,-0.007353,0.4,-0.1,Contracting,1.0,0.58,0,0,0.88
2024-07-25,2024-07-26,A17U.SI,CapLand Ascendas REIT,2.4485,2.4301,2.421,2.4576,2.4393,2.4485,2.4393,0,-0.003745,0.1,-0.1,Contracting,0.5,0.58,0,0,0.56
